Date,MMM,AAPL,CAT
2007-09-07,88.92,18.82,73.44
2007-09-10,87.82,19.53,73.74
2007-09-11,88.24,19.36,73.89
2007-09-12,89.08,19.55,72.77
2007-09-13,89.09,19.6,72.99
2007-09-14,89.02,19.83,73.16
2007-09-17,88.93,19.77,73.69
2007-09-18,91.66,20.13,77.46
2007-09-19,91.96,20.11,77.91
2007-09-20,91.44,20.04,77.37
2007-09-21,91.68,20.59,78.16
2007-09-24,91.81,21.18,77.72
2007-09-25,91.91,21.88,76.37
2007-09-26,92.54,21.82,76.66
2007-09-27,93.39,22.07,77.47
2007-09-28,93.58,21.92,78.43
2007-10-01,94.74,22.33,79.56
2007-10-02,93.89,22.64,79.64
2007-10-03,94.19,22.56,78.56
2007-10-04,94.25,22.32,78.64
2007-10-05,95.85,23.06,80.33
2007-10-08,95.41,23.99,81.34
2007-10-09,95.62,23.98,82.51
2007-10-10,95.82,23.83,81.16
2007-10-11,94.36,23.18,79.44
2007-10-12,94.17,23.89,80.3
2007-10-15,94.39,23.85,78.84
2007-10-16,93.98,24.23,77.75
2007-10-17,94.26,24.68,77.13
2007-10-18,94.73,24.79,77.66
2007-10-19,86.62,24.35,73.57
2007-10-22,86.28,24.91,73.5
2007-10-23,85.93,26.59,74.42
2007-10-24,86.1,26.56,75.79
2007-10-25,86.09,26.11,74.67
2007-10-26,86.13,26.39,75.04
2007-10-29,85.97,26.44,73.9
2007-10-30,85.79,26.71,73.46
2007-10-31,86.36,27.14,74.61
2007-11-01,83.9,26.78,73.31
2007-11-02,84.89,26.84,74.76
2007-11-05,85.05,26.6,73.5
2007-11-06,85.45,27.4,74.92
2007-11-07,83.27,26.61,73.6
2007-11-08,82.83,25.07,72.43
2007-11-09,79.51,23.62,70.41
2007-11-12,79.22,21.97,69.6
2007-11-13,81.23,24.28,71.07
2007-11-14,80.21,23.73,70.03
2007-11-15,79.65,23.47,69.73
2007-11-16,81.57,23.77,69.44
2007-11-19,81.7,23.42,68.2
2007-11-20,82.11,24.12,68.28
2007-11-21,81.24,24.07,67.94
2007-11-23,82.75,24.51,68.63
2007-11-26,81,24.65,67.83
2007-11-27,82.12,24.97,68.82
2007-11-28,83.41,25.75,71.19
2007-11-29,83.61,26.33,71.72
2007-11-30,83.26,26.03,71.9
2007-12-03,82.21,25.55,72.06
2007-12-04,82.09,25.69,72.01
2007-12-05,83.76,26.5,72.71
2007-12-06,84.82,27.14,74.35
2007-12-07,86.19,27.76,74.2
2007-12-10,86.74,27.74,76.58
2007-12-11,84.65,26.93,73.72
2007-12-12,86.66,27.27,73.82
2007-12-13,86.92,27.4,74.22
2007-12-14,85.93,27.2,73.39
2007-12-17,85.78,26.34,71.16
2007-12-18,85.85,26.14,71.05
2007-12-19,84.93,26.16,70.84
2007-12-20,84.49,26.74,71.51
2007-12-21,86.05,27.7,72.73
2007-12-24,86.26,28.4,72.7
2007-12-26,86.07,28.42,73.69
2007-12-27,85.4,28.37,72.73
2007-12-28,85.09,28.55,73.16
2007-12-31,84.32,28.3,72.56
2008-01-02,82.71,27.83,70.63
2008-01-03,82.7,27.85,70.38
2008-01-04,81.76,25.72,68.53
2008-01-07,81.11,25.38,68.73
2008-01-08,80.21,24.46,67.15
2008-01-09,80.19,25.6,67.23
2008-01-10,80.21,25.43,67.41
2008-01-11,77.58,24.67,66.01
2008-01-14,78.5,25.54,67.27
2008-01-15,77.18,24.15,65.4
2008-01-16,77.3,22.81,64.27
2008-01-17,74.96,22.98,62.47
2008-01-18,74.91,23.05,62.81
2008-01-22,75.16,22.23,63.82
2008-01-23,76.1,19.87,65.08
2008-01-24,75.73,19.37,65.25
2008-01-25,75.51,18.57,65.93
2008-01-28,77.44,18.57,68.21
2008-01-29,78.02,18.79,68.99
2008-01-30,78.22,18.88,68.44
2008-01-31,79.65,19.34,70.99
2008-02-01,81.21,19.11,71.76
2008-02-04,80.57,18.81,70.95
2008-02-05,79.09,18.48,67.52
2008-02-06,79.18,17.43,67.98
2008-02-07,79.12,17.32,68.32
2008-02-08,78.56,17.93,68.01
2008-02-11,79.28,18.49,69.42
2008-02-12,79.1,17.84,70
2008-02-13,81.38,18.49,71.65
2008-02-14,80.29,18.21,70.44
2008-02-15,79.95,17.8,69.95
2008-02-19,79.85,17.45,70.4
2008-02-20,79.94,17.69,71.25
2008-02-21,78.96,17.36,70.79
2008-02-22,79.67,17.07,71.18
2008-02-25,81,17.11,72.25
2008-02-26,81.29,17.02,73.3
2008-02-27,80.48,17.57,74.22
2008-02-28,79.8,18.56,74.39
2008-02-29,78.4,17.86,72.33
2008-03-03,78.49,17.39,73.2
2008-03-04,78.41,17.8,71.74
2008-03-05,78.93,17.78,71.85
2008-03-06,77.95,17.28,70.75
2008-03-07,76.51,17.46,69.84
2008-03-10,75.48,17.1,68.72
2008-03-11,77.95,18.19,72.61
2008-03-12,78.42,18,75.25
2008-03-13,79.08,18.28,75.67
2008-03-14,77.53,18.09,74.79
2008-03-17,78.51,18.1,74.46
2008-03-18,80.95,18.97,76.87
2008-03-19,79.47,18.52,73.73
2008-03-20,77.98,19.04,73.82
2008-03-24,78.64,19.93,76.03
2008-03-25,78.98,20.14,76.64
2008-03-26,78.66,20.72,77.36
2008-03-27,77.86,20.04,77.03
2008-03-28,77.95,20.43,77.09
2008-03-31,79.15,20.5,78.29
2008-04-01,81.32,21.36,79.98
2008-04-02,80.91,21.07,78.51
2008-04-03,80.17,21.66,77.07
2008-04-04,80.52,21.87,77.83
2008-04-07,80.19,22.27,77.25
2008-04-08,79.88,21.83,77.59
2008-04-09,79.59,21.63,76.16
2008-04-10,80.35,22.08,75.71
2008-04-11,78.47,21.02,74.8
2008-04-14,78.26,21.11,75.54
2008-04-15,78.84,21.2,75.95
2008-04-16,80.69,21.96,79.02
2008-04-17,80.65,22.07,78.59
2008-04-18,82.9,23.01,85.28
2008-04-21,82.34,24.02,83.33
2008-04-22,81.18,22.89,82.01
2008-04-23,80.63,23.27,81.69
2008-04-24,79.13,24.13,81.82
2008-04-25,77.82,24.25,82.25
2008-04-28,77.13,24.61,83.03
